TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
3000,0.6,Blue,0.1242,Silver Hoop,0.0882,Tan,0.0626,3d,0.0487,Grin,0.0713,Black T,0.0334,Fisherman's Hat,0.0345,Ether,1.0,2021-05-01 09:22:53.279150,2456.97,7.8066841624344265,1
9243,0.37,New Punk Blue,0.1232,Silver Hoop,0.0882,Dark Brown,0.1352,Closed,0.071,Bored Unshaven,0.1551,Pimp Coat,0.008,Spinner Hat,0.0181,Ether,1.0,2021-05-01 09:28:04.913856,1520.7406999999998,7.326952797778532,1
2056,0.13,Orange,0.1273,,,Golden Brown,0.0778,Wide Eyed,0.0549,Bored Unshaven,0.1551,Guayabera,0.0232,Army Hat,0.0294,Ether,1.0,2021-05-01 09:29:27.062575,532.3435,6.277288957673862,1
1008,0.5,Yellow,0.1283,,,Gray,0.0496,Bored,0.1714,Grin Diamond Grill,0.0078,Biker Vest,0.0253,Army Hat,0.0294,Ether,2.0,2021-05-01 09:31:01.195373,2047.475,7.624362605640472,1
7886,0.2,New Punk Blue,0.1232,Gold Stud,0.0439,Cream,0.0636,Sad,0.0551,Grin,0.0713,,,Halo,0.0324,Ether,1.0,2021-05-01 09:31:02.437568,823.3280000000001,6.713354663200139,1
4900,0.25,Army Green,0.1243,,,Brown,0.137,3d,0.0487,Phoneme Oh,0.0237,Bandolier,0.0163,Prussian Helmet,0.013,Ether,1.0,2021-05-01 09:31:02.902766,1029.16,6.936498214514349,1
9597,0.25,Purple,0.1291,,,White,0.0397,Bored,0.1714,Bored,0.2272,,,Party Hat 1,0.012,Ether,1.0,2021-05-01 09:31:03.030457,1027.5275,6.934910710002508,1
363,0.5,Orange,0.1273,,,Robot,0.0265,Wide Eyed,0.0549,Grin,0.0713,Black T,0.0334,Laurel Wreath,0.0072,Ether,1.0,2021-05-01 09:31:48.788717,2021.8,7.611743482719957,1
3027,0.25,Blue,0.1242,,,Cream,0.0636,Wide Eyed,0.0549,Small Grin,0.0272,,,Stuntman Helmet,0.0157,Ether,1.0,2021-05-01 09:32:48.181438,1023.7375,6.931215425080526,1
4679,0.21,Orange,0.1273,,,Pink,0.0511,Bored,0.1714,Grin Gold Grill,0.0091,Toga,0.0202,Army Hat,0.0294,Ether,1.0,2021-05-01 09:33:13.051659,864.4944,6.762144827369571,1
5746,0.17,Army Green,0.1243,,,Robot,0.0265,Sunglasses,0.0352,Jovial,0.0296,Service,0.0142,,,Ether,1.0,2021-05-01 09:33:13.153546,699.8288000000001,6.550835733702364,1
9210,0.16,Gray,0.117,,,Black,0.1229,Closed,0.071,Bored Cigarette,0.071,Striped Tee,0.0412,Army Hat,0.0294,Ether,1.0,2021-05-01 09:36:23.494509,657.6175999999999,6.488623607374088,1
2047,0.18,Orange,0.1273,,,Brown,0.137,Bored,0.1714,Jovial,0.0296,Blue Dress,0.0095,Horns,0.0252,Ether,1.0,2021-05-01 09:36:26.646759,737.0909999999999,6.60271135810849,1
8882,0.2,Aquamarine,0.1266,Gold Hoop,0.0462,Dmt,0.0215,Bloodshot,0.0846,Small Grin,0.0272,Sailor Shirt,0.0284,,,Ether,1.0,2021-05-01 09:38:46.037557,822.0219999999999,6.711767158688298,1
